episode,step,dbg2_move_toward,dbg2_survival,dbg2_reward_total
233,271218,0.0,1.0,0.01,2.0,3.01
234,272108,0.0,0.01,2.0,2.01
235,273214,0.0,0.01,2.0,2.01
236,274286,0.3,0.01,2.0,2.31
237,275408,0.0,0.01,-2.0,-1.99
238,276453,0.0,1.0,0.01,2.0,3.01
239,277570,0.0,0.01,2.0,2.01
240,278320,0.0,0.01,-2.0,-1.99
241,279542,0.0,0.01,-2.0,-1.99
242,280504,0.0,1.0,0.01,2.0,3.01
243,281674,0.0,-0.5,0.01,2.0,1.51
244,282735,0.0,-0.5,0.01,2.0,1.51
245,283601,0.0,0.01,2.0,2.01
246,284548,0.0,1.0,0.01,2.0,3.01
247,285474,0.0,0.01,2.0,2.01
248,286433,0.0,1.0,0.01,-2.0,-0.99
249,287302,0.0,1.0,0.01,2.0,3.01
250,288212,0.0,0.01,-2.0,-1.99
251,289007,0.0,0.01,-2.0,-1.99
252,289771,0.0,1.0,0.01,2.0,3.01
253,290658,0.0,-0.5,0.01,2.0,1.51
254,291450,0.0,-0.5,0.01,2.0,1.51
255,292391,0.0,0.01,2.0,2.01
256,293259,0.3,0.01,2.0,2.31
257,294440,0.0,1.0,0.01,2.0,3.01
258,295286,0.0,0.01,2.0,2.01
259,296504,0.0,0.01,-2.0,-1.99
260,297277,0.0,0.01,-2.0,-1.99
261,298138,0.3,0.01,-2.0,-1.69
262,299200,0.0,1.0,0.01,2.0,3.01
263,299962,0.3,0.01,-2.0,-1.69
264,300727,0.3,0.01,-2.0,-1.69
265,301775,0.0,0.01,2.0,2.01
266,302603,0.3,0.01,2.0,2.31
267,303662,0.0,0.01,2.0,2.01
268,304623,0.0,0.01,-2.0,-1.99
269,305624,0.0,0.01,-2.0,-1.99
270,306685,0.3,0.01,2.0,2.31
271,307664,-0.3,0.01,2.0,1.71
272,308731,0.0,0.01,-2.0,-1.99
273,309726,0.0,0.01,-2.0,-1.99
274,310488,0.0,0.01,-2.0,-1.99
275,311420,0.0,0.01,-2.0,-1.99
276,312472,0.0,0.01,-2.0,-1.99
277,313343,0.0,0.01,-2.0,-1.99
278,314079,0.0,0.01,-2.0,-1.99
279,315192,0.0,0.01,-2.0,-1.99
280,316001,0.0,1.0,0.01,2.0,3.01
281,316826,0.0,0.01,-2.0,-1.99
282,317695,-0.3,0.01,2.0,1.71
283,318680,0.0,0.01,-2.0,-1.99
284,319461,0.0,0.01,-2.0,-1.99
285,320320,0.0,1.0,0.01,2.0,3.01
286,321295,0.0,1.0,0.01,2.0,3.01
287,322229,0.0,0.01,2.0,2.01
288,323295,0.0,1.0,0.01,2.0,3.01
289,324577,0.0,0.01,-2.0,-1.99
290,325615,0.0,1.0,0.01,2.0,3.01
291,326583,0.0,1.0,0.01,-2.0,-0.99
292,327534,0.0,0.01,2.0,2.01
293,328516,0.0,0.01,2.0,2.01
294,329543,0.0,0.01,-2.0,-1.99
295,330586,0.0,0.01,2.0,2.01
296,331484,0.3,0.01,-2.0,-1.69
297,332408,0.0,0.01,-2.0,-1.99
298,333353,-0.3,0.01,-2.0,-2.29
299,334359,0.0,0.01,-2.0,-1.99
300,335299,-0.3,0.01,2.0,1.71
301,336241,0.0,0.01,-2.0,-1.99
302,337577,0.0,0.01,2.0,2.01
303,338747,0.0,0.01,2.0,2.01
304,339978,0.0,1.0,0.01,2.0,3.01
305,341007,0.0,0.01,-2.0,-1.99
306,341971,0.0,0.01,2.0,2.01
307,342850,0.0,0.01,2.0,2.01
308,343905,-0.3,0.01,2.0,1.71
309,345123,0.0,0.01,-2.0,-1.99
310,346297,0.0,0.01,2.0,2.01
311,347318,0.0,0.01,-2.0,-1.99
