episode,epsilon_p1,epsilon_p2,score_p1,score_p2,avg_duration,avg_reward_p1,avg_reward_p2,opponent_ep,episode_step,lr
86,0.946,0.946,38,38,3032,-0.1921542693086954,-0.1944161251095823,750,3032,0.0001
87,0.945,0.945,38,38,4161,-0.24851593269228714,-0.24648257879837668,700,4161,0.0001
88,0.944,0.944,39,38,1207,-0.5393317121198218,-0.5438758742850749,400,1207,0.0001
89,0.944,0.944,40,38,1109,-0.5373152385615736,-0.5345387281128476,550,1109,0.0001
90,0.943,0.943,41,38,1077,-0.7804503855659899,-0.8187257528688019,750,1077,0.0001
91,0.942,0.942,42,38,3055,-0.21996154684158567,-0.22591895083853236,750,3055,0.0001
92,0.942,0.942,43,38,1702,-0.6114175727453114,-0.6205948216260495,900,1702,0.0001
93,0.941,0.941,43,39,1462,-0.6150827204248779,-0.6115071459178056,950,1462,0.0001
94,0.94,0.94,43,40,2233,-0.6558100612763383,-0.6469180986433829,750,2233,0.0001
95,0.94,0.94,44,40,1266,-0.5051223015896535,-0.5125351183669551,900,1266,0.0001
96,0.939,0.939,45,40,2341,-0.578710054344403,-0.5719163714242794,700,2341,0.0001
97,0.939,0.939,46,40,1667,-0.6938086368073402,-0.7147618127452194,800,1667,0.0001
98,0.938,0.938,46,41,1483,-0.6308123960776478,-0.6119674990336122,900,1483,0.0001
99,0.937,0.937,47,41,1072,-0.4778115085242005,-0.4866917435050462,450,1072,0.0001
100,0.937,0.937,48,41,4952,-0.3071859698488148,-0.3063942545778053,150,4952,0.0001
101,0.936,0.936,49,41,1225,-0.6620239462171355,-0.6798362541811303,750,1225,0.0001
102,0.935,0.935,49,42,1339,-0.5776975009055406,-0.5904002483855547,600,1339,0.0001
103,0.935,0.935,49,43,2676,-0.5711291051932816,-0.573356342240227,850,2676,0.0001
104,0.934,0.934,50,43,1220,-0.6250112332745764,-0.6755366233319771,250,1220,0.0001
105,0.933,0.933,50,44,1572,-0.4750484711392422,-0.4842591132787502,600,1572,0.0001
106,0.933,0.933,51,44,1144,-0.4996614528664396,-0.5130335032741583,400,1144,0.0001
107,0.932,0.932,51,45,2304,-0.5350437501964571,-0.5372742915658902,900,2304,0.0001
108,0.932,0.932,52,45,1098,-0.6641873564326788,-0.7233767098524599,350,1098,0.0001
109,0.931,0.931,53,45,4529,-0.19853731100721142,-0.19699360088410514,400,4529,0.0001
110,0.93,0.93,54,45,2106,-0.6440205921017244,-0.6569500715020818,250,2106,0.0001
111,0.93,0.93,55,45,1672,-0.6267165312934735,-0.6512074780137705,650,1672,0.0001
112,0.929,0.929,56,45,2249,-0.6052848303109503,-0.6193167960382565,650,2249,0.0001
113,0.928,0.928,56,46,1346,-0.5996757163603195,-0.6002782252372894,900,1346,0.0001
114,0.928,0.928,57,46,4037,-0.30980926127918906,-0.30604159653989876,550,4037,0.0001
115,0.927,0.927,57,47,1818,-0.611014920551074,-0.612612245437035,800,1818,0.0001
116,0.927,0.927,57,48,1695,-0.5251130186225244,-0.5180119078127973,950,1695,0.0001
117,0.926,0.926,58,48,1271,-0.5203925140273566,-0.5346980897149618,250,1271,0.0001
118,0.925,0.925,59,48,1208,-0.6023902926049779,-0.633628110087189,250,1208,0.0001
119,0.925,0.925,59,48,5559,-0.24826139748697884,-0.2500456330434137,700,5559,0.0001
120,0.924,0.924,60,48,1285,-0.4643696469869028,-0.47546093161834363,400,1285,0.0001
121,0.923,0.923,60,48,5569,-0.48072884295675755,-0.4801530161001564,700,5569,0.0001
122,0.923,0.923,61,48,1889,-0.6637407098428113,-0.6673794387592004,950,1889,0.0001
123,0.922,0.922,62,48,1224,-0.46129369862529,-0.47251231273715566,550,1224,0.0001
124,0.921,0.921,62,49,1316,-0.8069804933150416,-0.7615453452863858,400,1316,0.0001
125,0.921,0.921,63,49,1187,-0.6430699061231413,-0.6752577956166588,950,1187,0.0001
126,0.92,0.92,64,49,1986,-0.5574423338078661,-0.5647905541492854,800,1986,0.0001
127,0.92,0.92,64,50,2675,-0.5753716878842527,-0.5798246598142952,950,2675,0.0001
128,0.919,0.919,64,51,1155,-0.5515601613182188,-0.5558903882428724,450,1155,0.0001
129,0.918,0.918,64,52,1324,-0.5412784307322362,-0.5437761427241272,100,1324,0.0001
130,0.918,0.918,65,52,2604,-0.6740518218856869,-0.6893237551740192,750,2604,0.0001
131,0.917,0.917,66,52,1461,-0.6713974520049055,-0.6850613877961778,150,1461,0.0001
132,0.916,0.916,66,53,1401,-0.5763370819378877,-0.5657695794788896,50,1401,0.0001
133,0.916,0.916,67,53,1388,-0.5257372572396878,-0.5267922858764899,800,1388,0.0001
134,0.915,0.915,67,54,1524,-0.7853768529376852,-0.7282763871912281,0,1524,0.0001
135,0.914,0.914,68,54,1446,-0.5626622414789956,-0.5693520333045953,150,1446,0.0001
136,0.914,0.914,69,54,1281,-0.5089869477516594,-0.5096117289823582,800,1281,0.0001
137,0.913,0.913,69,55,2080,-0.5686327071328348,-0.5714624890169432,850,2080,0.0001
138,0.913,0.913,70,55,1600,-0.5901908028247265,-0.5858386909794949,800,1600,0.0001
