episode,elapsed_time,step,loss_p1,loss_p2,q_p1,q_p2,eps_p1,eps_p2,reward_p1,reward_p2
2,33.897,9500,0.0016967300325632095,0.009253177791833878,0.7794135212898254,0.9702068567276001,0.998,0.998,-142.5,-144.0
2,42.318,10000,0.03588127717375755,0.0027706993278115988,0.7047814130783081,0.9487365484237671,0.998,0.998,-177.0,-178.5
2,50.68,10500,0.003806646214798093,0.017203541472554207,0.9546105265617371,0.9250682592391968,0.998,0.998,-210.0,-214.5
2,59.05,11000,0.007124807685613632,0.007008599117398262,1.0712552070617676,0.9101606011390686,0.998,0.998,-244.5,-247.5
2,67.954,11500,0.0062201670370996,0.004105786327272654,1.0139983892440796,1.2841936349868774,0.998,0.998,-279.0,-283.5
2,76.369,12000,0.0071503398939967155,0.07740083336830139,1.0374259948730469,1.359973430633545,0.998,0.998,-313.5,-319.5
2,84.812,12500,0.0036990162916481495,0.0005699496250599623,1.2270102500915527,1.2887734174728394,0.998,0.998,-348.0,-352.5
3,3.332,13000,0.004257728811353445,0.05532898008823395,1.1416832208633423,1.476149320602417,0.996,0.996,-15.0,-15.0
3,11.581,13500,0.0009642303921282291,0.08621975779533386,1.6575735807418823,1.7343285083770752,0.996,0.996,2.5,2.5
3,20.041,14000,0.011521872133016586,0.0730927512049675,1.6740951538085938,1.8954894542694092,0.996,0.996,85.0,78.5
4,5.572,14500,0.006161540746688843,0.008426908403635025,1.9102696180343628,1.9922256469726562,0.995,0.995,-17.5,-17.5
4,14.521,15000,0.007447499316185713,0.03008604422211647,1.9168627262115479,1.9662820100784302,0.995,0.995,71.5,65.0
5,3.796,15500,0.001671991078183055,0.04885486513376236,1.9455788135528564,2.5849709510803223,0.994,0.994,-13.5,-15.0
5,12.595,16000,0.004239802714437246,0.008625932969152927,2.123650312423706,2.8718109130859375,0.994,0.994,-48.0,-51.0
5,21.356,16500,0.07329212129116058,0.019172029569745064,2.3906960487365723,3.4002370834350586,0.994,0.994,-84.0,-87.0
5,30.117,17000,0.009750956669449806,0.11378220468759537,2.2215259075164795,3.083745241165161,0.994,0.994,-117.0,-121.5
5,38.96,17500,0.01368264202028513,0.022659307345747948,2.2473526000976562,3.4234042167663574,0.994,0.994,-119.0,-118.5
5,47.614,18000,0.010409352369606495,0.023306654766201973,2.299121618270874,3.6321780681610107,0.994,0.994,-153.5,-154.5
5,56.437,18500,0.01395802479237318,0.09474346786737442,2.7265443801879883,3.9577035903930664,0.994,0.994,-110.0,-116.0
6,1.156,19000,0.0080650569871068,0.09830784052610397,2.444723129272461,4.9219841957092285,0.993,0.993,-4.5,-4.5
6,9.751,19500,0.0038820288609713316,0.029619911685585976,2.9368863105773926,5.461887359619141,0.993,0.993,-40.5,-39.0
6,18.454,20000,0.020728517323732376,0.10745785385370255,3.344123363494873,5.215404510498047,0.993,0.993,-75.0,-75.0
6,27.995,20500,0.05601475387811661,0.05121815204620361,3.357426404953003,5.760630130767822,0.993,0.993,-109.5,-109.5
6,37.453,21000,0.1817169487476349,0.10142648965120316,3.6824698448181152,6.763586521148682,0.993,0.993,-144.0,-144.0
6,46.829,21500,0.019534355029463768,0.050341904163360596,3.7664144039154053,6.4508466720581055,0.993,0.993,-126.5,-128.0
6,56.36,22000,0.02300763502717018,0.02951962873339653,4.413007736206055,6.5201215744018555,0.993,0.993,-143.0,-143.0
6,65.477,22500,0.024554044008255005,0.06794000416994095,4.245100975036621,7.246028900146484,0.993,0.993,-177.5,-177.5
6,74.819,23000,0.1075984314084053,0.03707106038928032,4.694068431854248,7.393742561340332,0.993,0.993,-212.0,-213.5
6,83.937,23500,0.021806757897138596,0.06800584495067596,4.973553657531738,8.716201782226562,0.993,0.993,-248.0,-248.0
7,2.878,24000,0.022468820214271545,0.02198239415884018,4.814887523651123,7.919365882873535,0.992,0.992,-12.0,-12.0
7,11.945,24500,0.06349003314971924,0.1446126252412796,4.876410007476807,8.548876762390137,0.992,0.992,-46.5,-48.0
